#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Correction ID, Restricted, ap_type, Observation ID, Instrument, Aperture, FPX, FPY, File Name, zipname, File Size, visitId, Date, dataURI, selected
#@string, string, string, string, string, string, float, float, string, string, string, string, float, string, string
corr_id,isRestricted,ap_type,obs_id,instrume,apername,fpx,fpy,fileName,zipname,fileSize,visitId,date_obs_mjd,dataURI,_selected_
O2022030903,False,OPD,V01158001001P0000000002101,NIRCam-A,NRCA3_FULL,-0.870663,-0.968496,O2022030903-NRCA3_FULL-1.fits,,3576960,01158001001,59647.7992071759,mast:JWST/product/O2022030903-NRCA3_FULL-1.fits,False
O2022031301,False,OPD,V01162001001P0000000002101,NIRCam-A,NRCA3_FP1,-1.16706,-0.765884,O2022031301-NRCA3_FP1-1.fits,,2033280,01162001001,59650.5807048611,mast:JWST/product/O2022031301-NRCA3_FP1-1.fits,False
O2022032401,False,OPD,V01163008001P0000000003104,NIRCam-A,NRCA3_FP1,-1.16727,-0.760663,O2022032401-NRCA3_FP1-1.fits,,2041920,01163008001,59661.3535462963,mast:JWST/product/O2022032401-NRCA3_FP1-1.fits,False
O2022032501,False,OPD,V01163009001P0000000003104,NIRCam-A,NRCA3_FP1,-1.16779,-0.759618,O2022032501-NRCA3_FP1-1.fits,,6419520,01163009001,59662.9616377315,mast:JWST/product/O2022032501-NRCA3_FP1-1.fits,False
O2022032601,False,OPD,V01163111001P0000000003104,NIRCam-A,NRCA3_FP1,-0.93907,-0.912621,O2022032601-NRCA3_FP1-1.fits,,6419520,01163111001,59663.9733622685,mast:JWST/product/O2022032601-NRCA3_FP1-1.fits,False
O2022032601,False,OPD,V01163111001P0000000003109,NIRCam-A,NRCA3_FP1,-0.93907,-0.912621,O2022032601-NRCA3_FP1-3.fits,,5627520,01163111001,59664.0168564815,mast:JWST/product/O2022032601-NRCA3_FP1-3.fits,False
O2022041404,False,OPD,V01463001001P0000000002101,NIRCam-A,NRCA3_FP1,-1.16675,-0.76484,O2022041404-NRCA3_FP1-1.fits,,6419520,01463001001,59683.677755787,mast:JWST/product/O2022041404-NRCA3_FP1-1.fits,False
O2022041501,False,OPD,V01463006001P0000000002101,NIRCam-A,NRCA3_FP1,-1.16675,-0.76484,O2022041501-NRCA3_FP1-1.fits,,6419520,01463006001,59683.9152627315,mast:JWST/product/O2022041501-NRCA3_FP1-1.fits,False
O2022041601,False,OPD,V01163030001P0000000003104,NIRCam-A,NRCA3_FP1,-1.16675,-0.760924,O2022041601-NRCA3_FP1-1.fits,,6419520,01163030001,59684.9945266204,mast:JWST/product/O2022041601-NRCA3_FP1-1.fits,False
O2022041701,False,OPD,V01465001001P0000000002101,NIRCam-A,NRCA3_FP1,-1.16226,-0.767138,O2022041701-NRCA3_FP1-1.fits,,6419520,01465001001,59686.1132777778,mast:JWST/product/O2022041701-NRCA3_FP1-1.fits,False
O2022042801,False,OPD,V01163050001P0000000003104,NIRCam-A,NRCA3_FP1,-1.16891,-0.767005,O2022042801-NRCA3_FP1-0.fits,,6419520,01163050001,59697.5042395833,mast:JWST/product/O2022042801-NRCA3_FP1-0.fits,False
O2022052001,False,OPD,V01163055001P0000000003104,NIRCam-A,NRCA3_FP1,-1.16943,-0.766487,O2022052001-NRCA3_FP1-0.fits,,6419520,01163055001,59719.388125,mast:JWST/product/O2022052001-NRCA3_FP1-0.fits,False
O2022052501,False,OPD,V01163058001P0000000003104,NIRCam-A,NRCA3_FP1,-1.16865,-0.767006,O2022052501-NRCA3_FP1-59.fits,,6419520,01163058001,59723.8075949074,mast:JWST/product/O2022052501-NRCA3_FP1-59.fits,False
